 TIMESTAMP 	 VALUE0 	 VALUE1 	 VALUE2 	 VALUE_MEAN 
1.903	118.6899	15.7344	3.651	119.78394511106235
1.913	118.6937	15.6946	3.6075	119.7811710791809
1.923	118.6976	15.6548	3.564	119.77852522384804
1.933	118.6976	15.6548	3.564	119.77852522384804
1.943	118.728	15.6202	3.5341	119.80324909972182
1.953	118.6868	15.6196	3.4351	119.75946021258613
1.963	118.6868	15.6196	3.4351	119.75946021258613
1.973	118.6614	15.6382	3.3941	119.73554636786021
1.983	118.6327	15.651	3.3426	119.70732761635772
1.993	118.6245	15.6811	3.2565	119.7007672895625
2.003	118.6188	15.6932	3.2081	119.69539734379931
2.013	118.6188	15.6932	3.2081	119.69539734379931
2.024	118.6379	15.7007	3.1791	119.71453534851146
2.033	118.6551	15.7122	3.1339	119.73189764661713
2.043	118.6694	15.7039	3.1001	119.74410044582572
2.057	118.684	15.6817	3.088	119.75534775069546
2.063	118.6855	15.6916	3.0824	119.7579868341565
2.073	118.6479	15.7144	3.0913	119.72394362641084
2.084	118.5939	15.7634	3.0961	119.67699750570283
2.093	118.5303	15.8505	3.1178	119.62604668373856
2.104	118.4616	15.9357	3.1128	119.56917133145149
2.115	118.4616	15.9357	3.1128	119.56917133145149
2.123	118.409	16.0085	3.09	119.5261956779768
2.136	118.3689	16.0631	3.0391	119.49249264129526
2.143	118.3449	16.1054	2.9704	119.47268533572851
2.153	118.3651	16.1366	2.9139	119.49551276420382
2.164	118.3591	16.1625	2.8437	119.49137872143747
2.173	118.4007	16.1832	2.7962	119.53426478282283
2.183	118.4196	16.2046	2.7454	119.5547069189666
2.193	118.4224	16.2383	2.7122	119.56129489717814
2.203	118.4175	16.3059	2.712	119.56563730880207
2.214	118.4197	16.3853	2.7327	119.57914138122084
2.222	118.4322	16.4963	2.763	119.60747501527652
2.233	118.4322	16.4963	2.763	119.60747501527652
2.243	118.4293	16.5738	2.7571	119.61518108225226
2.253	118.4673	16.6027	2.6774	119.655001096235
2.264	118.5684	16.5588	2.5548	119.7463416520104
2.273	118.6812	16.4872	2.4097	119.8451569792038
2.285	118.9809	16.3255	2.1674	120.11525356015363
2.294	118.9809	16.3255	2.1674	120.11525356015363
2.304	119.1132	16.2559	2.1181	120.23599729972717
2.317	119.1963	16.2087	2.1433	120.3124001267949
2.324	119.2697	16.2403	2.2554	120.39142623683797
2.339	119.3004	16.2645	2.3932	120.42776592899995
2.348	119.2898	16.3194	2.5076	120.42702046534241
2.355	119.3189	16.3758	2.5861	120.46515942819318
2.371	119.3706	16.3905	2.5977	120.51861549113481
2.386	119.4136	16.3978	2.5722	120.56165195716257
2.399	119.5683	16.3727	2.5802	120.7116444350751
2.417	119.5969	16.3737	2.6102	120.74075403665492
2.424	119.5969	16.3737	2.6102	120.74075403665492
2.444	119.6145	16.3885	2.6845	120.7618237803239
2.455	119.5103	16.5359	2.8943	120.6835728978472
2.466	119.4796	16.5701	2.9241	120.65858192014359
2.474	119.4793	16.5842	2.9025	120.659700498468
2.484	119.4687	16.5669	2.8708	120.64606892866422
2.494	119.4726	16.5274	2.8271	120.64348136526067
2.504	119.4726	16.5274	2.8271	120.64348136526067
2.515	119.5001	16.4733	2.8084	120.66288005621281
2.523	119.5001	16.4733	2.8084	120.66288005621281
2.533	119.5229	16.3753	2.828	120.67258039215041
2.544	119.4802	16.354	2.8751	120.62851117397578
2.554	119.4802	16.354	2.8751	120.62851117397578
2.567	119.3894	16.3411	3.0187	120.54033736164835
2.576	119.3308	16.3321	3.0837	120.48272293046833
2.587	119.3308	16.3321	3.0837	120.48272293046833
2.595	119.2882	16.3251	3.1092	120.44023693886525
2.604	119.2617	16.3059	3.117	120.41159059949338
2.614	119.2762	16.2837	3.1049	120.42263564687497
2.625	119.2768	16.2556	3.1483	120.42056029802384
2.635	119.2768	16.2556	3.1483	120.42056029802384
2.644	119.2965	16.2805	3.217	120.44525180138899
2.654	119.3039	16.3233	3.314	120.46100312590794
2.664	119.2739	16.389	3.4199	120.44317439448365
2.673	119.2444	16.4548	3.5259	120.42599115311445
2.683	119.2132	16.5248	3.6157	120.40734759876575
2.693	119.1608	16.6055	3.6967	120.36903454701296
2.704	119.1509	16.6929	3.7521	120.37303741133226
2.714	119.1764	16.7616	3.7827	120.40878028952041
2.725	119.1764	16.7616	3.7827	120.40878028952041
2.734	119.2758	16.8858	3.7635	120.52390069828473
2.743	119.3223	16.9718	3.7599	120.58188139409668
2.754	119.3223	16.9718	3.7599	120.58188139409668
2.764	119.3048	17.2697	3.921	120.61198979425718
2.774	119.1921	17.4777	4.0681	120.53537297121538
2.831	119.1921	17.4777	4.0681	120.53537297121538
2.839	119.095	17.7133	4.2417	120.47975780511845
2.842	118.8107	18.1056	4.5685	120.269141420815
2.844	118.8107	18.1056	4.5685	120.269141420815
2.858	118.7027	18.2414	4.7043	120.18822779182659
